stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
3167,大量,3,15.0,2026-06-10,3,0.61,0.61,7.9,0.78,2026-06-10,2026-06-09,2026-06-08,0.0,-100573,-100573,585553,22000,0.5,33,33,-275,161,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:56,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:09
3189,景碩,3,15.0,2026-06-10,3,0.46,0.46,1.27,0.03,2026-06-10,2026-06-09,2026-06-08,0.0,-59835,-59835,140702,-4280,-0.5,78,78,17,72,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:56,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:11
3231,緯創,3,15.0,2026-06-10,3,4.23,4.23,6.01,1.93,2026-06-10,2026-06-09,2026-06-08,0.0,-3594781,-3594781,-7793506,-2738502,-1.0,15,15,16,7,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:22:56,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:11
3234,光環,3,15.0,2026-06-10,3,6.33,6.33,7.08,0.73,2026-06-10,2026-06-09,2026-06-08,0.0,-454970,-454970,-488707,-58346,-1.0,192,192,200,130,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:22:58,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:09
3264,欣銓,3,15.0,2026-06-10,3,1.46,1.46,3.33,1.4,2026-06-10,2026-06-09,2026-06-08,0.0,-225659,-225659,-311071,-131802,-1.0,60,60,57,129,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:23:00,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:13
3265,台星科,3,15.0,2026-06-10,3,1.32,1.32,3.52,2.19,2026-06-10,2026-06-09,2026-06-08,0.0,29042,29042,76891,63012,1.0,12,12,50,117,1.0,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-06-10 10:23:04,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:15
3289,宜特,3,15.0,2026-06-10,3,4.21,4.21,2.41,0.92,2026-06-10,2026-06-09,2026-06-08,0.0,-413404,-413404,129652,60767,0.5,187,187,38,97,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:23:09,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:20
3324,雙鴻,3,15.0,2026-06-10,3,9.68,9.68,1.82,0.07,2026-06-10,2026-06-09,2026-06-08,0.0,-798220,-798220,-147204,-4805,-1.0,194,194,109,100,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:23:10,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:22
3363,上詮,3,15.0,2026-06-10,3,6.26,6.26,1.33,2.69,2026-06-10,2026-06-09,2026-06-08,0.0,-724213,-724213,-81519,-230970,-1.0,138,138,90,128,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:23:11,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:24
3374,精材,3,15.0,2026-06-10,3,0.67,0.67,1.31,1.75,2026-06-10,2026-06-09,2026-06-08,0.0,73393,73393,-142773,-276486,-0.5,91,91,44,68,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:23:11,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:25
