stock_id,name,eps_Y,eps_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
3189,景碩,1.17,4.07,4.2,3.13,31.06,33.02,21.16,-0.98,-1.36,8.02,-0.5,2.21,7.89,-0.79,0.79,196.62,218.03,105.01,8.52,9.45,5.11,2026-05-28,2026-06-10,False,False,False,False,False,False,False,2026-06-08 18:37:10,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:12
3231,緯創,3.06,10.23,290.18,2.38,1.86,39.24,5.21,-0.41,-2.6,3.44,-0.09,-0.93,2.13,-0.14,-1.09,16.4,19.46,13.29,2.73,3.24,2.22,,,False,False,False,False,False,False,False,2026-06-08 18:37:13,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:15
3234,光環,-0.32,-1.79,0.06,-8.49,12.58,13.34,9.79,1.41,-19.72,-21.81,10.64,-23.82,-19.91,10.11,-22.96,0.0,0.0,0.0,19.41,22.38,14.37,,,False,False,False,False,False,False,False,2026-06-08 18:37:16,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:18
3264,欣銓,1.95,6.68,1.52,3.69,20.34,32.96,38.36,0.53,3.24,27.53,0.94,3.34,23.2,0.87,4.49,32.71,38.53,28.71,4.94,5.82,4.24,,,False,False,False,False,False,False,False,2026-06-08 18:37:19,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:22
3265,台星科,1.76,5.7,0.48,-1.08,17.03,22.06,25.55,-0.42,-3.2,19.64,0.38,-2.17,18.33,-0.76,-0.97,30.18,33.86,29.38,3.89,4.36,3.45,,,False,False,False,False,False,False,False,2026-06-08 18:37:22,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:25
3289,宜特,2.05,5.16,0.37,6.12,-7.19,-3.8,17.27,-8.33,-13.91,-6.84,-11.33,-17.63,15.71,11.87,5.38,35.61,43.76,31.29,3.11,3.9,2.79,,,False,False,False,False,False,False,False,2026-06-08 18:37:25,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:27
3324,雙鴻,12.61,35.15,3.14,10.43,44.09,93.75,29.66,3.29,2.3,17.77,3.7,5.01,14.8,1.97,2.81,31.6,42.99,27.1,7.59,10.12,6.51,,,False,False,False,False,False,False,False,2026-06-08 18:37:28,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:30
3363,上詮,-0.98,-0.83,0.14,12.39,12.33,-24.81,1.88,-10.55,-15.27,-40.86,-31.71,-39.2,-28.02,-22.3,-28.29,0.0,6187.5,0.0,16.43,40.24,15.36,,,False,False,False,False,False,False,False,2026-06-08 18:37:31,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:33
3374,精材,1.42,5.15,0.72,3.48,11.13,25.64,29.66,-3.16,-0.07,23.62,-3.69,1.51,20.09,-4.79,-2.06,45.33,54.09,33.37,6.23,7.44,4.63,,,False,False,False,False,False,False,False,2026-06-08 18:37:34,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:36
3443,創意,12.28,33.24,4.67,8.85,39.46,132.13,27.2,8.16,-0.89,15.93,5.8,0.34,14.38,5.03,0.69,128.01,172.38,94.38,39.1,52.65,27.55,,,False,False,False,False,False,False,False,2026-06-08 18:37:37,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:39
